ID_REDUTOR_VELOCIDADE;NUM_PROJETO_OPERACIONAL;ENDERECO_REFERENCIA;BAIRRO;REFERENCIA_LOCALIZACAO;DATA_IMPLANTACAO;DATA_ULTIMA_MANUTENCAO;GEOMETRIA
7322;22-VHF-0000002-2019;RUA ULISSES SURETTE, 765;PONGELUPE;ENTRE RUA SETE E RUA ANTONIO EUSTAQUIO PINHEIRO;2019-02-15 00:00:00;;LINESTRING (603498.60 7787176.17, 603502.09 7787181.97)
7323;;RUA UM, 231;ACAIACA;ENTRE RUA CLEANTO E RUA HERACLITO;;2021-02-14 00:00:00;LINESTRING (615535.13 7805127.78, 615526.48 7805127.23)
7324;;RUA URSULA PAULINO, 1499;ESTRELA DO ORIENTE;ENTRE RUA AMANDA E RUA MARGARIDA MARIA DE CARVALHO;;2013-06-12 00:00:00;LINESTRING (605735.31 7792594.57, 605726.24 7792598.29)
7325;18-VHF-0000050-2011;RUA VARZEA DA PALMA, 241;SANTA MÔNICA;ENTRE   E RUA CORONEL OSCAR MACEDO;2011-09-14 00:00:00;;LINESTRING (606246.26 7807699.56, 606253.62 7807705.30)
7326;18-VHF-0000050-2011;RUA VARZEA DA PALMA, 185;JARDIM LEBLON;ENTRE RUA CORONEL ANTONIO LOPES COELHO E RUA SENHORA DA ABADIA;2011-09-19 00:00:00;;LINESTRING (606331.93 7807559.22, 606340.71 7807561.31)
7327;26-VHF-0000951-2012;RUA VASCO DA GAMA, 211;SÃO BERNARDO;ENTRE VDP TRES MIL TREZENTOS E NOVENTA E SETE E RUA AMERICA;2013-03-06 00:00:00;;LINESTRING (611129.10 7804999.31, 611126.72 7805000.87, 611124.05 7805002.62)
7328;18-VHF-0018258-2014;RUA VERA LUCIA, 226;RIO BRANCO;ENTRE RUA UM MIL QUATROCENTOS E QUARENTA E SETE E RUA COMENDADOR ARTHUR VIANA;2014-07-30 00:00:00;;LINESTRING (606690.71 7807975.08, 606684.16 7807977.23)
7329;18-VHF-0000018-2019;RUA VERA LUCIA, 120;RIO BRANCO;ENTRE RUA AUGUSTO DOS ANJOS E RUA UM MIL QUATROCENTOS E QUARENTA E SEIS;2020-12-04 00:00:00;;LINESTRING (606733.53 7808101.43, 606726.90 7808103.60)
7330;26-VHF-0046111-2013;RUA VERDEJANTE, 36;SÃO GABRIEL;ENTRE RUA SAO JOAO DA SERRA E RUA CONCEICAO DAS ALAGOAS;2014-08-01 00:00:00;;LINESTRING (613964.20 7804657.46, 613957.30 7804657.12)
7331;26-VHF-0062155-2012;RUA VEREADOR CAMIL CARAM, 301;RIBEIRO DE ABREU;ENTRE RUA MIRACEMA DO NORTE E RUA JORNALISTA MILTON CURY;2014-08-01 00:00:00;;LINESTRING (615765.96 7806813.12, 615768.99 7806812.04, 615771.81 7806811.04)
7332;17-VHF-0035786-2011;AVE VEREADOR CICERO ILDEFONSO, 320;DOM CABRAL;ENTRE RUA CATA PRETA E PCA CELIO CELSO CRUZ;2011-09-28 00:00:00;;LINESTRING (605090.50 7796191.11, 605095.72 7796196.39)
7333;17-VHF-0003603-2011;RUA VEREADOR GERALDO PEREIRA, 715;PADRE EUSTÁQUIO;ENTRE RUA COSTA SENNA E RUA HENRIQUE GORCEIX;2011-06-07 00:00:00;;LINESTRING (606790.59 7796836.19, 606790.85 7796843.51)
7334;26-VHF-0053590-2012;RUA VEREADOR ORLANDO BONFIM, 64;PLANALTO;ENTRE AVE GENERAL CARLOS GUEDES E RUA ADELINA SALES PEREIRA;2013-03-05 00:00:00;2017-07-17 00:00:00;LINESTRING (610020.23 7806114.47, 610023.51 7806117.69, 610024.29 7806118.44, 610025.82 7806119.95)
7335;22-VHF-0057270-2011;RUA VERISSIMO GUIMARAES, 99;LINDÉIA;ENTRE RUA TREM DE FERRO E RUA CLOVIS DE SOUZA MUNHOZ;2012-09-10 00:00:00;;LINESTRING (598902.64 7789691.45, 598909.67 7789689.14)
7336;;RUA VERONICA, 434;SÃO SALVADOR;ENTRE RUA IMPERIAL E RUA LUME;;2020-10-07 00:00:00;LINESTRING (603201.57 7800500.32, 603207.31 7800496.16)
7337;16-VHF-0002798-2010;RUA DOIS MIL CENTO E TRINTA E CINCO, 148;CORUMBIARA;ENTRE RUA NOSSA SENHORA APARECIDA E BEC TRES;2010-04-28 00:00:00;;LINESTRING (603337.90 7787041.79, 603336.89 7787048.16)
7338;19-VHF-0000121-2021;RUA DETETIVE WILLIAM NUNES, 333;BAIRRO NOVO DAS INDÚSTRIAS;ENTRE AVE JOAQUIM DE OLIVEIRA E RUA VICENTE FERREIRA DE QUEIROZ;2016-01-23 00:00:00;;LINESTRING (605057.59 7791179.18, 605064.98 7791180.32)
7339;22-VHF-0054494-2013;AVE VICENTE PIMENTEL, 328;VILA INDEPENDÊNCIA IV;ENTRE AVE SENADOR LEVINDO COELHO E AVE GENOVEVA MARZINETTE PIMENTEL;2014-02-20 00:00:00;2020-06-24 00:00:00;LINESTRING (601470.19 7786157.98, 601475.12 7786162.92)
7340;;RUA VICENTE RISOLA, 849;SANTA INÊS;ENTRE RUA MINDURI E RUA MATUTINA;;2013-12-10 00:00:00;LINESTRING (614177.29 7800841.88, 614187.33 7800842.92)
7341;;RUA VICENTE RISOLA, 704;SANTA INÊS;ENTRE RUA MIRABELA E RUA MINDURI;;2013-12-13 00:00:00;LINESTRING (614196.36 7800773.66, 614186.08 7800772.27)
7342;;RUA VICENTE RISOLA, 107;SANTA INÊS;ENTRE RUA JERONIMO MONTEIRO E RUA MONTALVANIA;;2013-12-10 00:00:00;LINESTRING (614261.57 7800167.48, 614273.05 7800168.92)
7343;17-VHF-0038119-2012;RUA VILA RICA, 1919;JARDIM MONTANHÊS;ENTRE RUA BOREAL E RUA ENGENHEIRO OSWALDO ANDRADE;2013-02-01 00:00:00;;LINESTRING (606718.49 7798838.77, 606726.23 7798838.59)
7345;;AVE VILARINHO, 6000;MANTIQUEIRA;ENTRE RUA ALUIZIO TEIXEIRA DA SILVA E RUA JOAO FERREIRA DA SILVA;;2012-07-24 00:00:00;LINESTRING (606014.18 7810171.22, 606012.15 7810178.51)
7346;18-VHF-0000040-2015;AVE VILARINHO, 285;VILA CLÓRIS;ENTRE RUA DAS JABOTICABEIRAS E AVE CRISTIANO MACHADO;2015-10-20 00:00:00;2015-10-30 00:00:00;LINESTRING (610260.83 7807809.92, 610260.94 7807818.24)
7347;18-VHF-0026760-2011;AVE VILARINHO, 701;VILA CLÓRIS;ENTRE RUA DOS MAMOEIROS E RUA DAS AMOREIRAS;2012-04-12 00:00:00;2024-03-12 00:00:00;LINESTRING (609969.52 7808025.30, 609974.69 7808030.37)
7348;18-VHF-0000070-2015;AVE VILARINHO, 5731;MANTIQUEIRA;ENTRE RUA EMILIA MARZANO MATIAS E RUA PADRE JOAO TAVARES;2015-08-04 00:00:00;;LINESTRING (606211.65 7810138.81, 606216.33 7810144.32)
7349;22-VHF-0003654-2013;RUA VINHEDO, 189;ITAIPU;ENTRE RUA VALINHOS E RUA TREZENTOS E NOVENTA E TRES;2013-06-18 00:00:00;;LINESTRING (599296.89 7789006.76, 599303.67 7789008.03)
7350;26-VHF-056710T-2017;RUA VINTE E OITO DE SETEMBRO, 1214;POMPÉIA;ENTRE RUA GENERAL SAMPAIO E RUA JORDAO;2018-05-11 00:00:00;;LINESTRING (614342.06 7798029.74, 614349.77 7798033.89)
7351;17-VHF-051143T-2017;RUA VIOLETA DE MELO, 641;JARDIM SÃO JOSÉ;ENTRE RUA DAVID RABELO E RUA FLOR DE FIGUEIRA;2020-05-08 17:00:00;2011-06-15 00:00:00;LINESTRING (604704.72 7799242.04, 604702.56 7799234.72)
7352;;RUA VIOLETA DE MELO, 988;JARDIM SÃO JOSÉ;ENTRE RUA FLOR DE AMEROCALIS E RUA DA RESSURREICAO;;2019-04-28 00:00:00;LINESTRING (604889.81 7799188.55, 604887.64 7799180.94)
7355;;RUA VISCONDE DE TAUNAY, 443;SANTA MÔNICA;ENTRE RUA ALVARES DE AZEVEDO E RUA MONTE ALVERNE;;2012-10-16 00:00:00;LINESTRING (607820.01 7807822.60, 607825.76 7807825.98)
7356;22-VHF-0030555-2010;RUA VITORIA REGIA, 345;LINDÉIA;ENTRE RUA DOS HIBISCUS E RUA ALAMANDA;2010-12-29 23:00:00;;LINESTRING (599130.61 7790810.83, 599135.53 7790815.48)
7357;22-VHF-034032-2011; , ;;ENTRE RUA S DOIS E VDP SEM NOME;2012-01-24 00:00:00;;LINESTRING (603908.01 7787214.73, 603910.41 7787206.08)
7358;18-VHF-0028443-2012;RUA WALDEMAR DIAS COELHO, 91;CANDELÁRIA;ENTRE RUA FARMACEUTICO RAUL MACHADO E RUA CORONEL CANCIO DE ALBUQUERQUE;2012-09-27 00:00:00;;LINESTRING (607900.96 7808944.07, 607901.63 7808950.29)
7359;22-VHF-0035729-2010;RUA WALDEMAR SIEBLER, 30;TIROL;ENTRE AVE NELIO CERQUEIRA E RUA PAULO DE OLIVEIRA SANTOS;2011-03-22 00:00:00;;LINESTRING (600792.48 7789360.10, 600799.92 7789361.09)
7360;26-VHF-0047796-2013;RUA WALDIR LEITE PENA, 175;SILVEIRA;ENTRE RUA CARLOS TURNER E PCA BERNARDO BRASIL TOLENTINO;2015-06-15 00:00:00;;LINESTRING (611995.47 7800054.49, 611999.31 7800045.76)
7361;18-VHF-0028615-2013;RUA WALDOMIRO LOBO, 1099;AARÃO REIS;ENTRE RUA ANIRY E RUA ANA LUCIA;2015-07-06 00:00:00;;LINESTRING (612157.92 7805322.96, 612167.65 7805313.49)
7362;18-VHF-016724T-2016;RUA WALDOMIRO LOBO, 2090;HELIÓPOLIS;ENTRE   E  ;2020-04-24 00:00:00;;LINESTRING (611413.56 7805151.96, 611409.85 7805159.11)
7363;18-VHF-0028615-2013;RUA WALDOMIRO LOBO, 1140;GUARANI;ENTRE RUA ANA LUCIA E RUA SIRI;;2015-07-06 00:00:00;LINESTRING (612111.13 7805273.54, 612115.53 7805269.37, 612121.14 7805264.08)
