ID_FISCALIZACAO_ELETRONICA;DESC_LOC_CONTROLADOR_TRANSITO;DESC_TIPO_CONTROLADOR_TRANSITO;VELOCIDADE_REGULAMENTAR;SENTIDO;SENTIDO_FISCALIZADO;NUM_SERIE_ATUAL;COD_SECUNDARIA;GEOMETRIA
1051;Av. Presidente Antônio Carlos, n.º 4157 - PISTA MOVE;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;567;SPX567;POINT (609451.88 7802292.90)
1052;Av. Presidente Antônio Carlos, n.º 7596 – PISTA MOVE;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;86;GPX086;POINT (608838.37 7804087.93)
1053;Av. Presidente Antônio Carlos, n.º 7605 – PISTA MOVE;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;87;GPX087;POINT (608823.27 7804094.52)
1054;Av. Dom Pedro I, Oposto ao n.º 575 – PISTA MOVE;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;84;GPX084;POINT (608200.47 7805944.92)
1055;Av. Dom Pedro I, oposto ao n.º 1515 - PISTA MOVE;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;75;SPX075;POINT (608655.52 7806943.98)
1056;Av. Dom Pedro I, n.º 1515 - PISTA MOVE;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;72;SPX072;POINT (608654.94 7806963.14)
1057;Av. Dom Pedro I, oposto ao n.º 1220 - PISTA MOVE;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;73;SPX073;POINT (608476.83 7806566.27)
1058;Av. Dom Pedro I, n.º 1220 - PISTA MOVE;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;69;SPX069;POINT (608483.80 7806550.97)
1059;Av. Cristiano Machado, esquina com Av. Silviano Brandão - PISTA MOVE;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;71;SPX071;POINT (611898.27 7798868.28)
1060;Av. Cristiano Machado, n.º 3411 - PISTA MOVE;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;566;SPX566;POINT (612120.93 7801711.05)
672;R. Dom Leme esquina com Av. Cristiano Machado;Detector de Avanço de Semáforo;40;Silveira-Cidade Nova;Único;1590;1590;POINT (612060.01 7800774.28)
673;R. Dom Leme esquina com Av. Cristiano Machado;Detector de Parada sobre Faixa de Pedestres;40;Silveira-Cidade Nova;Único;1590;15390;POINT (612063.15 7800775.02)
674;Av. Cristiano Machado, 2150;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;2200036;GCT036;POINT (612088.32 7800474.74)
675;Av. Cristiano Machado, 2150;Detector de Parada sobre Faixa de Pedestres;60;Centro-Bairro;Único;2200036;GCT036;POINT (612086.78 7800482.21)
676;Av. Cristiano Machado, 2273;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;2200035;GCT035;POINT (612076.24 7800497.55)
677;Av. Cristiano Machado, 2273;Detector de Parada sobre Faixa de Pedestres;60;Bairro-Centro;Único;2200035;GCT035;POINT (612076.81 7800491.41)
678;Av. Presidente Antônio Carlos entre R. Formiga e Viaduto Angola;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;2200026;GCT026;POINT (610465.45 7798889.70)
501;Av. Afonso Pena esquina com R. dos Tamóios;Detector de Avanço de Semáforo;60;Mangabeiras-Centro;Único;3026;"393205021
";POINT (611203.62 7796925.42)
502;Av. Afonso Pena esquina com R. dos Tamóios;Detector de Avanço de Semáforo;60;Mangabeiras-Centro;Único;3027;149240001;POINT (611208.81 7796928.88)
503;Av. Afonso Pena esquina com R. dos Tamóios;Detector de Trânsito em Local Proibido;60;Mangabeiras-Centro;Único;3026;"393205021
";POINT (611208.70 7796918.70)
504;Av. Afonso Pena esquina com R. dos Tamóios;Detector de Trânsito em Local Proibido;60;Mangabeiras-Centro;Único;3027;149240001;POINT (611212.72 7796921.51)
505;Av. Augusto de Lima esquina com R. Paracatu;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;3031;122420162;POINT (609719.93 7796896.21)
506;Av. Augusto de Lima esquina com R. Paracatu;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;3032;122420138;POINT (609718.31 7796889.74)
507;Av. Augusto de Lima esquina com R. Paracatu;Detector de Trânsito em Local Proibido;60;Bairro-Centro;Único;3031;122420162;POINT (609713.46 7796898.03)
508;Av. Augusto de Lima esquina com R. Paracatu;Detector de Trânsito em Local Proibido;60;Bairro-Centro;Único;3032;122420138;POINT (609711.64 7796890.95)
509;R. Paracatu esquina com Av. Augusto de Lima;Detector de Avanço de Semáforo;40;Barro Preto-Santo Agostinho;Único;3033;241705005;POINT (609731.85 7796914.81)
510;R. Paracatu esquina com Av. Augusto de Lima;Detector de Trânsito em Local Proibido;40;Barro Preto-Santo Agostinho;Único;3033;241705005;POINT (609735.12 7796926.00)
511;Av. Bias Fortes esquina com R. dos Goitacazes;Detector de Avanço de Semáforo;60;Barro Preto-Lourdes;Único;3040;393205020;POINT (610289.49 7796899.41)
512;Av. Bias Fortes esquina com R. dos Goitacazes;Detector de Trânsito em Local Proibido;60;Barro Preto-Lourdes;Único;3040;393205020;POINT (610285.53 7796907.57)
513;R. dos Tamóios esquina com Av. Olegário Maciel;Detector de Avanço de Semáforo;40;Av. do Contorno-Av. Paraná;Único;3039;122420179;POINT (610495.09 7797131.82)
514;R. dos Tamóios esquina com Av. Olegário Maciel;Detector de Trânsito em Local Proibido;40;Av. do Contorno-Av. Paraná;Único;3039;122420179;POINT (610485.68 7797133.96)
515;R. dos Tupinambás esquina com Av. Olegário Maciel;Detector de Avanço de Semáforo;60;Av. do Contorno-Av. Paraná;Único;3035;122420164;POINT (610564.77 7797404.44)
516;R. dos Tupinambás esquina com Av. Olegário Maciel;Detector de Avanço de Semáforo;60;Av. do Contorno-Av. Paraná;Único;3036;241705003;POINT (610562.67 7797397.68)
517;R. dos Tupinambás esquina com Av. Olegário Maciel;Detector de Trânsito em Local Proibido;60;Av. do Contorno-Av. Paraná;Único;3035;122420164;POINT (610557.77 7797406.54)
518;R. dos Tupinambás esquina com Av. Olegário Maciel;Detector de Trânsito em Local Proibido;60;Av. do Contorno-Av. Paraná;Único;3036;241705003;POINT (610555.20 7797400.01)
519;Av. Olegário Maciel esquina com R. dos Tupinambás;Detector de Avanço de Semáforo;60;Lagoinha-Barro Preto;Único;3037;241705004;POINT (610571.06 7797410.04)
520;Av. Olegário Maciel esquina com R. dos Tupinambás;Detector de Avanço de Semáforo;60;Lagoinha-Barro Preto;Único;3038;122420176;POINT (610575.73 7797408.87)
521;Av. Olegário Maciel esquina com R. dos Tupinambás;Detector de Trânsito em Local Proibido;60;Lagoinha-Barro Preto;Único;3038;122420176;POINT (610578.53 7797414.24)
522;Av. Olegário Maciel esquina com R. dos Tupinambás;Detector de Trânsito em Local Proibido;60;Lagoinha-Barro Preto;Único;3037;241705004;POINT (610573.40 7797416.11)
523;Av. Brasil esquina com Av. Francisco Sales;Detector de Avanço de Semáforo;60;Santa Efigênia-Savassi;Único;3029;122420165;POINT (612479.63 7796330.23)
524;Av. Brasil esquina com Av. Francisco Sales;Detector de Avanço de Semáforo;60;Santa Efigênia-Savassi;Único;3030;122420174;POINT (612476.21 7796335.79)
525;Av. Brasil esquina com Av. Francisco Sales;Detector de Trânsito em Local Proibido;60;Santa Efigênia-Savassi;Único;3030;122420174;POINT (612483.05 7796340.92)
526;Av. Brasil esquina com Av. Francisco Sales;Detector de Trânsito em Local Proibido;60;Santa Efigênia-Savassi;Único;3029;122420165;POINT (612486.48 7796332.36)
527;Av. Francisco Sales esquina com Av. Bernardo Monteiro;Detector de Avanço de Semáforo;60;Floresta-Santa Efiigênia;Único;3041;39325019;POINT (612259.29 7796657.81)
528;Av. Francisco Sales esquina com Av. Bernardo Monteiro;Detector de Trânsito em Local Proibido;60;Floresta-Santa Efiigênia;Único;3041;39325019;POINT (612254.62 7796663.64)
529;Av. Otacílio Negrão de Lima, 1064;Detector de Trânsito em Local Proibido;40;São Luiz-Aeroporto;Único;3021;122420180;POINT (607525.26 7804236.06)
530;Av. Otacílio Negrão de Lima esquina com R. Mussi Elias Abuid;Detector de Trânsito em Local Proibido;40;Bandeirantes-Braúnas;Único;3025;122420136;POINT (604335.87 7804714.03)
679;Av. Presidente Antônio Carlos entre R. Formiga e Viaduto Angola;Detector de Parada sobre Faixa de Pedestres;60;Centro-Bairro;Único;2200026;GCT026;POINT (610463.65 7798896.10)
680;Av. Presidente Antônio Carlos entre R. Formiga e Viaduto Angola;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;2200025;GCT025;POINT (610451.19 7798904.72)
681;Av. Presidente Antônio Carlos entre R. Formiga e Viaduto Angola;Detector de Parada sobre Faixa de Pedestres;60;Bairro-Centro;Único;2200025;GCT025;POINT (610452.53 7798899.16)
682;Av. Presidente Antônio Carlos, oposto ao 1089;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;2200033;GCT033;POINT (610358.80 7799121.32)
683;Av. Presidente Antônio Carlos, oposto ao 1089;Detector de Parada sobre Faixa de Pedestres;60;Centro-Bairro;Único;2200033;GCT033;POINT (610362.64 7799115.18)
684;Av. Presidente Antônio Carlos, 1089;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;2200034;GCT034;POINT (610350.95 7799115.18)
685;Av. Presidente Antônio Carlos, 1089;Detector de Parada sobre Faixa de Pedestres;60;Bairro-Centro;Único;2200034;GCT034;POINT (610347.88 7799119.59)
48;Av. do Contorno, 629;Controlador Eletrônico de Velocidade;60;Praça da Estação-Rodoviária;Único;3300;;POINT (611314.17 7797658.78)
49;Av. do Contorno, 4045 e oposto ao 4045;Controlador Eletrônico de Velocidade;60;Savassi-Santa Efigênia e Santa Efigênia-Savassi;Ambos;3301;;POINT (612815.29 7795956.83)
50;Av. do Contorno, oposto ao 5445;Controlador Eletrônico de Velocidade;60;São Lucas-Savassi;Único;3268;;POINT (612174.53 7794879.38)
51;Av. do Contorno, 10730;Controlador Eletrônico de Velocidade;60;Barro Preto-Centro;Único;3265;;POINT (609920.35 7797270.19)
52;Av. do Contorno, 10812;Controlador Eletrônico de Velocidade;60;Centro-Barro Preto;Único;3264;;POINT (610005.11 7797283.62)
53;Av. dos Andradas, 3470 e oposto ao 3470;Controlador Eletrônico de Velocidade;60;Bairro-Centro e Centro-Bairro;Ambos;3302;;POINT (613863.96 7797171.59)
54;Av. dos Andradas, 4020 e oposto ao 4020;Controlador Eletrônico de Velocidade;60;Bairro-Centro e Centro-Bairro;Ambos;3303;;POINT (614152.27 7798098.83)
55;Av. dos Andradas, 7110 e oposto ao 7110;Controlador Eletrônico de Velocidade;60;Bairro-Centro e Centro-Bairro;Ambos;3263;;POINT (615152.12 7798825.51)
56;Av. Eliseu Resende esquina com R. Lotus;Controlador Eletrônico de Velocidade;60;R. Úrsula Paulino-Av. Teresa Cristina e Av. Teresa;Ambos;3372;;POINT (605030.52 7792095.12)
57;Av. Heráclito Mourão de Miranda, 2474;Controlador Eletrônico de Velocidade;60;Pampulha-Alípio de Melo;Único;3304;;POINT (604697.04 7802053.87)
