ID_SINALIZACAO_SEMAFORICA;COD_SINALIZACAO_SEMAFORICA;NOME;TP_TRAVESSIA_PEDESTRE;BOTOEIRA;BOTOEIRA_SONORA;LACO_DETECTOR_VEICULAR;QTD_TR_C_FOCO;QTD_TR_S_FOCO;GEOMETRIA
809;S7405;TUPINAMBAS - RIO GRANDE DO SUL;Travessia Total;Não;Não;Não;4;0;POINT (610446.55 7797433.28)
810;S7406;TUPIS - GUARANI;Travessia Parcial;Não;Não;Não;2;0;POINT (610523.40 7796921.32)
811;S7407;TUPIS - PARACATU;Travessia Incompleta;Não;Não;Não;2;2;POINT (609797.84 7797170.41)
812;S7408;TUPIS - SANTA CATARINA;Somente Pedestre;Não;Não;Não;1;1;POINT (610572.33 7796910.00)
813;S7409;URUGUAI - CALIFORNIA;Travessia Incompleta;Não;Não;Não;3;0;POINT (611568.14 7793769.83)
814;S7410;URUGUAI - GRAO MOGOL;Travessia Parcial;Não;Não;Não;3;1;POINT (611512.71 7793828.53)
815;S7411;URUGUAI - MONTEVIDEU;Travessia Total;Não;Não;Não;6;0;POINT (611812.79 7793489.39)
816;S7412;URUGUAI - REPUBLICA ARGENTINA;Travessia Total;Não;Não;Não;6;0;POINT (611729.63 7793645.31)
817;S7413;VITORIO MAR?OLA - ALFENAS (COLEGIO ARNALDIUM);Somente Pedestre;Sim;Não;Não;1;0;POINT (612273.37 7794178.89)
818;S7414;MARTIM DE CARVALHO - ASSEMBLEIA LEGISLATIVA;Somente Pedestre;Não;Não;Não;1;0;POINT (609879.69 7795846.25)
819;S7415;AFONSO PENA - RAMALHETE;Somente Pedestre;Não;Não;Não;2;0;POINT (612878.52 7794024.96)
820;S7416;GOITACAZES - MATO GROSSO;Travessia Total;Não;Não;Não;4;0;POINT (610167.20 7796929.17)
821;S8121;TEREZA CRISTINA - NOSSA SENHORA DE FATIMA;Travessia Incompleta;Não;Não;Não;4;0;POINT (608764.27 7797211.16)
822;S7418;GETULIO VARGAS - PIAUI;Somente Pedestre;Não;Não;Não;2;0;POINT (612262.12 7795513.37)
823;S7034;ALFREDO BALENA - CEARA;Travessia Incompleta;Não;Não;Não;5;0;POINT (612402.01 7796623.06)
824;S7417;GON?ALVES DIAS - RUA MATO GROSSO;Travessia Total;Não;Não;Não;4;0;POINT (609953.77 7796117.80)
825;S7422;ALVARES MACIEL - MANAUS;Travessia Incompleta;Não;Não;Não;2;1;POINT (612944.03 7796478.42)
826;S4060;TANCREDO NEVES - VIA PROJETADO;Somente Pedestre;Não;Não;Não;2;0;POINT (605469.91 7801653.68)
828;S7425;ANDRADAS - BERNARDO MONTEIRO;Travessia Total;Não;Não;Não;2;0;POINT (612340.42 7796935.97)
829;S7432;SaO PAULO - GUAJAJARAS;Travessia Incompleta;Não;Não;Não;1;2;POINT (610725.85 7796434.95)
830;S7427;BAHIA - BERNARDO GUIMARAES;Travessia Incompleta;Não;Não;Não;1;2;POINT (611068.60 7795966.19)
831;S7428;BAHIA - TOME DE SOUZA;Travessia Incompleta;Sim;Não;Não;1;1;POINT (610888.82 7795287.98)
832;S7429;AFONSO PENA - ALFENAS (PASSAGEM DE PEDESTRES);Somente Pedestre;Não;Não;Não;2;0;POINT (612751.56 7794242.73)
833;S7430;LUIZ PAULO FRANCO - DROGARIA ARAUJO - PASSAGEM DE PEDESTRES;Somente Pedestre;Não;Não;Não;2;0;POINT (610584.60 7790927.07)
834;S7431;FELIPE DOS SANTOS - SANTA CATARINA;Travessia Total;Não;Não;Não;4;0;POINT (610207.66 7795466.36)
